douban_film_id,title,page_number,rank_within_list
4307515,故乡之光 Nostalgia de la luz,22,545
1478064,人类之子 Children of Men,22,546
1303150,阿伦人 Man of Aran,22,547
1292764,汉娜姐妹 Hannah and Her Sisters,22,548
1306449,怒火青春 La Haine,22,549
1292584,上海小姐 The Lady from Shanghai,22,550
1299539,悬崖上的野餐 Picnic at Hanging Rock,23,551
1429055,"我你他她 Je, tu, il, elle",23,552
1292223,七宗罪 Se7en,23,553
1300211,私恋失调 Punch-Drunk Love,23,554
1298505,火车怪客 Strangers on a Train,23,555
1293499,青年林肯 Young Mr. Lincoln,23,556
1294408,音乐之声 The Sound of Music,23,557
1302279,俄罗斯方舟 Русский ковчег,23,558
1297602,虎豹小霸王 Butch Cassidy and the Sundance Kid,23,559
1294782,很可能是魔鬼 Le diable probablement,23,560
2131459,机器人总动员 WALL·E,23,561
1307177,与僵尸同行 I Walked with a Zombie,23,562
1303462,离魂异客 Dead Man,23,563
1303067,影武者,23,564
1420042,默文·卡拉 Morvern Callar,23,565
4117025,当我往前走之时偶尔会瞥到一缕美丽之景 As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,23,566
1401595,无粮的土地 Las Hurdes,23,567
1418834,断背山 Brokeback Mountain,23,568
1293358,爱情神话 Fellini - Satyricon,23,569
1299353,婚礼进行曲 The Wedding March,23,570
1293256,富贵逼人来 Being There,23,571
1292453,疯狂的麦克斯2 Mad Max 2,23,572
1291876,黄土地,23,573
4729942,桑比赞加 Sambizanga,23,574
1295427,蓝天使 Der blaue Engel,23,575
1441134,马布斯博士的遗嘱 Das Testament des Dr. Mabuse,24,576
6433905,大师 The Master,24,577
1303082,金发女郎的爱情 Lásky jedné plavovlásky,24,578
1297646,逍遥骑士 Easy Rider,24,579
1294072,罗拉秘史 Laura,24,580
1306489,豹族 Cat People,24,581
